Date,MaxTemperature,MinTemperature,Rainfall,MaxWindSpeed
2025-03-04,24.4,15.6,0.0,17.0
2025-03-05,22.8,12.6,0.0,22.7
2025-03-06,26.6,12.8,0.0,14.2
2025-03-07,28.4,12.5,0.0,9.5
2025-03-08,30.1,14.6,0.0,12.0
2025-03-09,31.8,16.8,0.0,11.9
2025-03-10,31.7,19.0,0.0,13.5
2025-03-11,34.4,19.5,0.0,7.1
2025-03-12,32.9,19.8,0.0,12.2
2025-03-13,32.0,21.0,5.9,14.8
2025-03-14,33.2,19.0,0.0,13.6
2025-03-15,30.3,19.0,0.5,15.0
2025-03-16,29.9,18.0,0.1,12.9
2025-03-17,28.3,17.6,0.0,14.0
2025-03-18,29.9,17.1,0.0,11.8
2025-03-19,32.3,17.7,0.0,11.9
2025-03-20,33.0,19.1,0.0,13.9
2025-03-21,32.0,19.4,0.0,15.5
2025-03-22,31.3,18.0,0.0,16.1
2025-03-23,32.7,18.5,0.0,10.3
2025-03-24,33.9,20.0,0.0,8.5
2025-03-25,36.4,20.9,0.0,9.7
2025-03-26,37.9,21.8,0.0,12.2
2025-03-27,36.2,24.1,0.0,12.8
2025-03-28,31.0,21.8,0.0,15.5
2025-03-29,28.9,16.2,0.0,15.2
2025-03-30,31.5,17.5,0.0,12.6
2025-03-31,33.9,17.6,0.0,13.5
2025-04-01,33.3,19.0,0.0,13.6
2025-04-02,35.7,18.6,0.0,11.8
2025-04-03,37.4,20.4,0.0,9.4
2025-04-04,37.0,21.7,0.0,14.2
2025-04-05,35.2,22.0,0.0,13.8
2025-04-06,38.1,22.0,0.0,10.3
2025-04-07,39.9,24.4,0.0,7.6
2025-04-08,39.9,25.2,0.0,9.7
2025-04-09,40.7,26.1,0.0,12.5
2025-04-10,38.9,26.6,1.4,23.3
2025-04-11,34.2,22.5,8.1,25.8
2025-04-12,34.8,20.5,1.1,9.9
2025-04-13,35.3,21.1,0.0,5.6
2025-04-14,35.6,22.3,0.0,10.1
2025-04-15,36.6,24.7,0.0,10.0
2025-04-16,38.2,25.6,0.0,9.5
2025-04-17,40.5,26.2,0.0,15.8
2025-04-18,40.8,25.7,0.0,15.9
2025-04-19,39.9,27.4,0.0,19.7
2025-04-20,40.0,27.0,0.0,17.4
2025-04-21,40.4,26.3,0.0,11.9
2025-04-22,39.5,24.6,0.0,12.2
2025-04-23,39.2,23.8,0.0,13.7
2025-04-24,40.4,24.4,0.0,15.3
2025-04-25,41.6,25.3,0.0,14.3
2025-04-26,41.5,26.0,0.0,18.8
2025-04-27,40.8,28.3,0.0,11.2
2025-04-28,41.1,26.5,0.0,17.3
2025-04-29,37.5,25.0,0.0,15.0
2025-04-30,36.8,26.3,0.0,12.3
2025-05-01,37.6,25.9,0.0,14.7
2025-05-02,28.6,21.7,12.4,13.3
2025-05-03,35.4,24.0,3.4,12.3
2025-05-04,34.8,24.4,2.0,11.5
2025-05-05,35.6,24.2,0.1,13.4
2025-05-06,34.4,22.2,0.4,19.3
2025-05-07,33.3,23.7,0.5,10.7
2025-05-08,32.4,23.9,2.7,11.6
2025-05-09,37.1,25.1,1.1,9.8
2025-05-10,37.1,26.6,1.5,18.2
2025-05-11,38.2,25.1,0.0,14.0
2025-05-12,39.6,25.5,0.0,13.5
2025-05-13,41.3,28.1,0.0,18.7
2025-05-14,41.2,28.5,0.0,16.2
2025-05-15,41.9,29.7,0.0,12.2
2025-05-16,42.7,28.8,0.0,18.1
2025-05-17,42.8,29.2,0.0,19.7
2025-05-18,42.1,29.5,0.0,14.4
2025-05-19,42.0,28.2,0.0,12.8
2025-05-20,42.6,28.0,0.0,20.6
2025-05-21,43.0,29.8,0.0,22.6
2025-05-22,37.0,25.0,0.0,14.7
2025-05-23,38.2,26.4,1.5,14.0
2025-05-24,37.7,28.5,0.4,16.8
2025-05-25,31.2,23.0,0.4,16.2
2025-05-26,35.7,24.1,1.8,15.6
2025-05-27,36.1,26.2,0.0,8.8
2025-05-28,39.5,27.4,0.0,11.3
2025-05-29,40.1,27.6,0.3,8.8
2025-05-30,36.1,27.1,0.0,13.2
2025-05-31,39.7,26.1,1.0,14.4
2025-06-01,37.3,26.4,4.2,18.6
2025-06-02,37.1,24.1,0.3,10.3
2025-06-03,34.6,25.8,0.0,12.3
2025-06-04,36.4,24.5,0.3,19.8
2025-06-05,37.2,24.4,0.0,9.4
2025-06-06,37.8,25.9,0.0,10.2
2025-06-07,41.2,28.0,0.0,10.4
2025-06-08,42.8,29.6,0.0,14.6
2025-06-09,43.7,30.0,0.0,16.5
2025-06-10,43.1,30.1,0.0,14.4
2025-06-11,43.6,30.1,0.0,11.6
2025-06-12,43.1,31.1,0.5,11.7
2025-06-13,41.1,31.3,0.0,13.4
2025-06-14,42.9,30.6,0.3,13.5
2025-06-15,37.9,29.6,1.3,18.5
2025-06-16,32.0,24.8,25.6,13.8
2025-06-17,33.7,25.2,16.9,11.1
2025-06-18,33.2,24.0,5.3,7.8
2025-06-19,32.7,27.0,0.1,9.9
2025-06-20,31.7,25.5,1.2,13.8
2025-06-21,34.7,26.2,1.6,7.3
2025-06-22,34.0,28.0,0.8,8.1
2025-06-23,35.7,27.8,0.1,8.6
2025-06-24,36.1,27.3,1.1,7.6
2025-06-25,32.1,26.5,12.9,12.0
2025-06-26,34.5,26.0,11.5,11.6
2025-06-27,33.7,27.7,0.5,8.8
2025-06-28,35.8,25.6,8.3,8.5
2025-06-29,33.4,26.1,16.2,12.4
2025-06-30,31.7,25.4,17.3,10.1
